Driver,LapNumber,Compound,TyreLife,Position,LapTimeSeconds,PitThisLap,PitStopDuration,Year,Race,GridPosition,DNF,FinalPosition,StintNumber,DegradationRate,PositionMomentum,RaceCompletion,CompoundEncoded,GapToLeaderPace,RelativeTyreAge,LapsSincePit
ALO,2.0,HARD,3.0,11.0,92.422,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,6.619500000000002,0.0,0.034482758620689655,2.0,3.6310000000000002,-0.7894736842105261,1.0
ALO,3.0,HARD,4.0,11.0,91.511,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,5.273000000000001,0.0,0.05172413793103448,2.0,2.9239999999999924,-0.7894736842105265,2.0
ALO,4.0,HARD,5.0,11.0,91.321,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.8203333333333327,0.0,0.06896551724137931,2.0,2.5319999999999965,-0.7894736842105265,3.0
ALO,5.0,HARD,6.0,11.0,91.339,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.4593333333333334,0.0,0.08620689655172414,2.0,2.709000000000003,-0.7894736842105265,4.0
ALO,6.0,HARD,7.0,11.0,90.92,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.2623333333333355,0.0,0.10344827586206896,2.0,2.326999999999998,-0.7894736842105265,5.0
ALO,7.0,HARD,8.0,11.0,90.811,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.0923333333333383,0.0,0.1206896551724138,2.0,2.26100000000001,-0.7894736842105257,6.0
ALO,8.0,HARD,9.0,11.0,91.052,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.9966666666666744,0.0,0.13793103448275862,2.0,2.467000000000013,-0.7894736842105257,7.0
ALO,9.0,HARD,10.0,11.0,90.99,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.0200000000000053,0.0,0.15517241379310345,2.0,2.6340000000000003,-0.7894736842105257,8.0
ALO,10.0,HARD,11.0,11.0,90.989,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,2.079333333333338,0.0,0.1724137931034483,2.0,2.7730000000000103,-0.7894736842105257,9.0
ALO,11.0,HARD,12.0,11.0,90.577,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.9210000000000018,0.0,0.1896551724137931,2.0,2.442999999999998,-0.2631578947368425,10.0
ALO,12.0,HARD,13.0,11.0,90.535,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.7693333333333356,0.0,0.20689655172413793,2.0,1.968999999999994,-0.2631578947368425,11.0
ALO,13.0,HARD,14.0,11.0,90.488,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.602333333333334,0.0,0.22413793103448276,2.0,2.230000000000004,-0.2631578947368425,12.0
ALO,14.0,HARD,15.0,11.0,90.842,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.6906666666666677,0.0,0.2413793103448276,2.0,1.4500000000000028,0.5789473684210531,13.0
ALO,15.0,HARD,16.0,11.0,90.817,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.7846666666666664,0.0,0.25862068965517243,2.0,2.3249999999999886,1.421052631578947,14.0
ALO,16.0,HARD,17.0,9.0,90.648,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.8379999999999985,-0.4,0.27586206896551724,2.0,2.8149999999999977,3.2631578947368425,15.0
ALO,17.0,HARD,18.0,9.0,90.93,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.8673333333333346,-0.4,0.29310344827586204,2.0,3.1500000000000057,3.2631578947368425,16.0
ALO,18.0,HARD,19.0,7.0,90.574,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.7863333333333362,-0.8,0.3103448275862069,2.0,2.6850000000000023,5.210526315789474,17.0
ALO,19.0,HARD,20.0,7.0,90.331,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.6806666666666719,-0.8,0.3275862068965517,2.0,2.0990000000000038,6.315789473684211,18.0
ALO,20.0,HARD,21.0,6.0,90.024,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.37866666666667,-1.0,0.3448275862068966,2.0,1.6370000000000005,7.473684210526315,19.0
ALO,21.0,HARD,22.0,6.0,89.633,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,1.0650000000000024,-0.6,0.3620689655172414,2.0,1.063999999999993,7.473684210526315,20.0
ALO,22.0,HARD,23.0,6.0,89.899,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.9210000000000017,-0.6,0.3793103448275862,2.0,1.8930000000000007,10.947368421052632,21.0
ALO,23.0,HARD,24.0,6.0,89.593,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.777333333333336,-0.2,0.39655172413793105,2.0,1.9300000000000068,10.947368421052632,22.0
ALO,24.0,HARD,25.0,5.0,89.667,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.7886666666666713,-0.4,0.41379310344827586,2.0,1.6880000000000024,13.578947368421053,23.0
ALO,25.0,HARD,26.0,5.0,89.527,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.6646666666666713,-0.2,0.43103448275862066,2.0,1.8020000000000067,13.578947368421053,24.0
ALO,26.0,HARD,27.0,5.0,89.527,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.6426666666666705,-0.2,0.4482758620689655,2.0,1.4500000000000028,13.823529411764707,25.0
ALO,27.0,HARD,28.0,5.0,89.379,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.5466666666666716,-0.2,0.46551724137931033,2.0,1.4040000000000106,13.823529411764707,26.0
ALO,28.0,HARD,29.0,5.0,89.312,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.4750000000000038,-0.2,0.4827586206896552,2.0,1.3769999999999953,13.823529411764707,27.0
ALO,29.0,HARD,30.0,5.0,89.074,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.3240000000000028,0.0,0.5,2.0,1.5900000000000034,15.470588235294118,28.0
ALO,30.0,HARD,31.0,5.0,89.378,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.3236666666666679,0.0,0.5172413793103449,2.0,1.8700000000000045,15.470588235294118,29.0
ALO,31.0,HARD,32.0,4.0,89.314,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.324333333333333,-0.2,0.5344827586206896,2.0,1.8189999999999884,17.470588235294116,30.0
ALO,32.0,HARD,33.0,4.0,89.165,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.3546666666666691,-0.2,0.5517241379310345,2.0,1.7210000000000036,17.470588235294116,31.0
ALO,33.0,HARD,34.0,4.0,89.13,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.27200000000000085,-0.2,0.5689655172413793,2.0,1.5489999999999924,17.470588235294116,32.0
ALO,34.0,HARD,35.0,4.0,88.931,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.14433333333333564,-0.2,0.5862068965517241,2.0,1.730000000000004,17.4375,33.0
ALO,35.0,HARD,36.0,4.0,90.285,0,0.0,2021,Abu Dhabi,11.0,0,8.0,0,0.5176666666666657,-0.2,0.603448275862069,2.0,2.8619999999999948,17.4375,34.0
ALO,36.0,HARD,37.0,4.0,117.817,1,0.0,2021,Abu Dhabi,11.0,0,8.0,1,10.521333333333331,0.0,0.6206896551724138,2.0,16.349999999999994,18.375,0.0
ALO,37.0,MEDIUM,1.0,7.0,116.24,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,20.06566666666666,0.6,0.6379310344827587,1.0,24.941999999999993,-11.875,1.0
ALO,38.0,MEDIUM,2.0,8.0,90.132,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,20.456,0.8,0.6551724137931034,1.0,3.811000000000007,-11.875,2.0
ALO,39.0,MEDIUM,3.0,8.0,88.811,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,10.787333333333336,0.8,0.6724137931034483,1.0,2.7080000000000126,-11.875,3.0
ALO,40.0,MEDIUM,4.0,8.0,89.256,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.7926666666666715,0.8,0.6896551724137931,1.0,2.7039999999999935,-11.875,4.0
ALO,41.0,MEDIUM,5.0,9.0,90.486,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.9106666666666712,1.0,0.7068965517241379,1.0,4.185000000000002,-11.875,5.0
ALO,42.0,MEDIUM,6.0,9.0,89.43,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,2.1170000000000044,0.4,0.7241379310344828,1.0,2.967000000000013,-11.875,6.0
ALO,43.0,MEDIUM,7.0,9.0,88.946,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,2.0136666666666705,0.2,0.7413793103448276,1.0,2.5090000000000003,-11.875,7.0
ALO,44.0,MEDIUM,8.0,9.0,89.07,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.5416666666666667,0.2,0.7586206896551724,1.0,2.2619999999999862,-11.875,8.0
ALO,45.0,MEDIUM,9.0,9.0,89.019,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.4046666666666663,0.2,0.7758620689655172,1.0,2.2510000000000048,-11.875,9.0
ALO,46.0,MEDIUM,10.0,9.0,88.762,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.3433333333333337,0.0,0.7931034482758621,1.0,1.7339999999999947,-11.875,10.0
ALO,47.0,MEDIUM,11.0,9.0,89.126,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.3620000000000043,0.0,0.8103448275862069,1.0,2.484000000000009,-11.875,11.0
ALO,48.0,MEDIUM,12.0,9.0,89.827,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.631333333333335,0.0,0.8275862068965517,1.0,3.397999999999996,-11.875,12.0
ALO,49.0,MEDIUM,13.0,8.0,88.564,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.5653333333333326,-0.2,0.8448275862068966,1.0,2.056999999999988,-9.9375,13.0
ALO,50.0,MEDIUM,14.0,9.0,89.325,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.6316666666666653,0.0,0.8620689655172413,1.0,2.8970000000000056,-9.9375,14.0
ALO,51.0,MEDIUM,15.0,9.0,88.424,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,1.1640000000000015,0.0,0.8793103448275862,1.0,2.0050000000000097,-10.066666666666666,15.0
ALO,52.0,MEDIUM,16.0,9.0,102.295,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,5.741000000000004,0.0,0.896551724137931,1.0,15.766000000000005,-10.066666666666666,16.0
ALO,53.0,MEDIUM,17.0,9.0,133.583,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,20.49366666666667,0.0,0.9137931034482759,1.0,35.009,-3.333333333333332,17.0
ALO,55.0,MEDIUM,19.0,9.0,145.226,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,39.42766666666667,0.2,0.9482758620689655,1.0,41.891000000000005,2.6923076923076934,19.0
ALO,56.0,MEDIUM,20.0,8.0,119.466,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,45.15133333333333,-0.2,0.9655172413793104,1.0,1.0180000000000007,0.8571428571428577,20.0
ALO,57.0,MEDIUM,21.0,8.0,88.007,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,29.959333333333333,-0.2,0.9827586206896551,1.0,0.5470000000000113,0.8571428571428577,21.0
ALO,58.0,MEDIUM,22.0,8.0,87.607,0,0.0,2021,Abu Dhabi,11.0,0,8.0,1,10.753,-0.2,1.0,1.0,0.9890000000000043,-2.7272727272727266,22.0
