Driver,LapNumber,Compound,TyreLife,Position,LapTimeSeconds,PitThisLap,PitStopDuration,Year,Race,GridPosition,DNF,FinalPosition
HAM,1.0,MEDIUM,4.0,2.0,119.538,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,2.0,MEDIUM,5.0,2.0,142.712,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,4.0,MEDIUM,7.0,2.0,104.932,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,5.0,MEDIUM,8.0,2.0,105.139,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,6.0,MEDIUM,9.0,2.0,96.169,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,7.0,MEDIUM,10.0,2.0,96.123,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,8.0,MEDIUM,11.0,2.0,96.075,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,9.0,MEDIUM,12.0,2.0,96.148,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,10.0,MEDIUM,13.0,2.0,96.082,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,11.0,MEDIUM,14.0,2.0,96.143,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,12.0,MEDIUM,15.0,2.0,96.507,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,13.0,MEDIUM,16.0,2.0,98.924,1,0.0,2021,Bahrain,2.0,0,1.0
HAM,14.0,HARD,1.0,4.0,115.006,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,15.0,HARD,2.0,3.0,94.057,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,16.0,HARD,3.0,3.0,95.104,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,17.0,HARD,4.0,2.0,95.099,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,18.0,HARD,5.0,1.0,95.266,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,19.0,HARD,6.0,1.0,95.346,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,20.0,HARD,7.0,1.0,95.324,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,21.0,HARD,8.0,1.0,95.837,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,22.0,HARD,9.0,1.0,95.539,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,23.0,HARD,10.0,1.0,95.219,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,24.0,HARD,11.0,1.0,95.087,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,25.0,HARD,12.0,1.0,95.359,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,26.0,HARD,13.0,1.0,95.622,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,27.0,HARD,14.0,1.0,95.94,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,28.0,HARD,15.0,2.0,97.835,1,0.0,2021,Bahrain,2.0,0,1.0
HAM,29.0,HARD,1.0,3.0,115.194,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,30.0,HARD,2.0,3.0,94.365,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,31.0,HARD,3.0,2.0,95.305,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,32.0,HARD,4.0,2.0,94.729,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,33.0,HARD,5.0,2.0,95.041,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,34.0,HARD,6.0,2.0,94.665,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,35.0,HARD,7.0,2.0,94.745,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,36.0,HARD,8.0,2.0,94.754,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,37.0,HARD,9.0,2.0,94.74,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,38.0,HARD,10.0,2.0,94.72,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,39.0,HARD,11.0,2.0,94.816,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,40.0,HARD,12.0,1.0,94.89,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,41.0,HARD,13.0,1.0,94.334,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,42.0,HARD,14.0,1.0,94.199,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,43.0,HARD,15.0,1.0,94.163,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,44.0,HARD,16.0,1.0,94.015,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,45.0,HARD,17.0,1.0,94.583,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,46.0,HARD,18.0,1.0,94.492,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,47.0,HARD,19.0,1.0,94.591,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,48.0,HARD,20.0,1.0,94.167,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,49.0,HARD,21.0,1.0,94.136,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,50.0,HARD,22.0,1.0,94.354,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,51.0,HARD,23.0,1.0,94.579,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,52.0,HARD,24.0,1.0,94.939,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,53.0,HARD,25.0,1.0,96.155,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,54.0,HARD,26.0,1.0,94.814,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,55.0,HARD,27.0,1.0,94.706,0,0.0,2021,Bahrain,2.0,0,1.0
HAM,56.0,HARD,28.0,1.0,94.918,0,0.0,2021,Bahrain,2.0,0,1.0
